x,y,label
-0.182853,-0.014498,0
-0.323035,0.371686,1
-0.371991,0.132289,1
0.271080,0.897421,1
-0.088227,0.439061,1
0.313462,0.262738,1
-0.279186,0.363013,1
0.513276,0.371911,0
-0.026944,-0.530466,1
0.086679,-0.559980,1
0.092273,0.134894,0
0.112109,-0.351568,0
0.627175,-0.712538,0
0.585661,-0.008399,0
-0.017334,-0.053736,1
0.050156,0.007539,1
0.755979,0.164343,1
0.090080,0.117525,0
0.757152,0.358571,1
0.149149,-0.055719,1
0.023950,0.173694,0
0.171556,0.858205,1
0.322006,-0.324121,0
0.939568,-0.287030,0
-0.441704,0.172599,1
0.254624,0.915617,1
0.288592,-0.803309,0
0.146711,-0.332884,0
-0.127502,-0.211501,0
0.001515,-0.038695,1
-0.413907,0.207246,1
0.066145,0.040669,0
-0.647464,0.228012,0
0.203609,-0.324966,0
-0.172106,0.113630,0
0.099018,-0.061819,1
-0.059643,0.452369,1
-0.304034,0.275712,1
0.209516,-0.315277,0
-0.097760,0.211640,0
0.832890,0.244702,1
0.245771,0.046920,1
0.382078,-0.812998,0
0.385687,-0.529830,1
0.052656,0.054273,0
-0.218584,-0.101685,0
-0.174062,0.123346,0
1.008875,-0.317493,0
-0.812730,0.470748,1
-0.167728,0.072150,0
0.354905,0.167021,1
0.776761,-0.018774,1
-0.700239,0.655454,1
-0.224736,-0.468420,1
0.109266,0.033261,0
-0.721651,-0.207998,0
-0.451403,0.566696,0
0.063725,-0.080527,1
0.029234,-0.319667,0
0.063190,0.038370,1
-0.162425,0.662302,0
-0.449327,0.034421,1
-0.029068,0.238607,0
-0.834569,0.435412,1
0.120129,-0.306933,0
0.441390,-0.119686,0
-0.430133,0.094155,1
0.103967,-0.039051,1
0.562665,-0.719975,0
-0.059346,-0.213344,0
-0.236326,-0.679464,0
-0.692470,-0.098417,0
-0.320175,-0.413199,1
-0.002131,0.164288,0
0.118163,-0.114207,1
-0.298440,0.608848,0
0.478259,-0.039012,0
-0.717660,0.212248,0
-0.082782,0.128074,0
-0.427061,0.017055,1
-0.210150,0.047628,0
0.466270,0.442086,0
0.545793,0.197673,0
-0.398228,0.853630,1
-0.028124,0.009808,1
0.940909,-0.412777,0
0.255829,-0.008404,1
-0.145684,0.448561,1
-0.108345,-0.215253,0
0.127347,-0.077537,1
-0.485131,-0.092541,1
0.132043,-0.095990,1
0.297406,0.158168,1
-0.008863,-0.020705,1
-0.673429,0.099075,0
0.011558,0.672920,0
0.166554,-0.614141,1
-0.478572,-0.070484,1
-0.192527,-0.033160,0
-0.620115,-0.395342,0
0.294217,0.075728,1
-0.120005,-0.183257,0
0.542988,0.189546,0
-0.110570,0.133654,0
0.127965,0.092396,0
-0.645959,0.125927,0
0.594042,0.024874,0
-0.145044,0.618827,0
0.175322,-0.051468,1
-0.132667,-0.827525,0
0.273069,0.207032,1
0.955253,-0.162203,0
0.507304,-0.469084,1
-0.152332,0.154916,0
0.087446,0.149232,0
-0.542028,-0.500199,0
0.203347,-0.292170,0
0.066894,0.170691,0
0.843240,0.134211,1
-0.305893,-0.759943,0
0.067523,0.078508,0
0.217462,-0.042984,1
0.190227,-0.329348,0
0.076472,0.015165,0
0.228958,0.327660,1
-0.144851,0.363634,1
-0.848074,0.316053,1
-0.470159,-0.612745,0
0.664675,0.616775,1
0.314908,-0.263054,0
0.062920,0.129360,0
0.744490,-0.221516,1
-0.128673,0.119321,0
-0.878454,0.344920,1
0.519864,0.735434,1
0.013173,-0.076294,1
0.760744,0.495782,1
0.530894,-0.098402,0
-0.594361,0.395008,0
0.399170,-0.236390,0
0.149205,-0.858977,0
-0.342766,0.282105,1
-0.013897,-0.820822,0
0.101988,0.070870,0
0.240688,0.249682,1
-0.136922,-0.215333,0
-0.397717,0.513972,0
0.081209,0.085631,0
0.470347,0.383044,0
0.202875,-0.047956,1
-0.261938,0.637377,0
-0.399086,-0.278168,1
0.296783,-0.543082,1
0.516887,0.393536,0
-0.663266,-0.039377,0
-0.106008,0.913520,1
0.492499,-0.483609,1
0.802514,-0.450378,0
0.085318,0.129647,0
0.018025,0.229729,0
-0.090910,0.397914,1
-0.458703,0.475773,0
0.217959,0.278306,1
-0.460392,0.773873,1
0.062218,0.961283,1
0.809566,-0.043126,1
0.192988,-0.826024,0
0.610203,0.558594,1
-0.042425,0.192474,0
0.688072,-0.187585,1
0.062994,0.055800,0
0.698648,0.420504,1
0.458033,-0.481171,1
-0.447508,0.885080,1
0.024527,-0.033540,1
-0.017577,0.001294,1
0.112212,0.914471,1
0.057798,0.073515,0
-0.411674,0.880580,1
-0.204023,0.018224,0
0.043461,0.030453,1
-0.682226,0.119740,0
-0.667949,0.056057,0
