x,y,label
-0.383827,0.176464,1
0.903732,-0.305213,0
0.354972,0.820452,1
0.365211,-0.525061,1
0.030527,-0.853847,0
-0.053961,-0.568893,1
-0.468847,-0.592068,0
0.391795,-0.194308,0
-0.005385,0.060032,1
-0.561304,-0.405083,0
-0.350677,0.583737,0
0.143532,-0.048609,1
0.757039,0.004469,1
0.274124,-0.281331,0
0.741973,0.445123,1
0.223061,-0.826972,0
0.148167,-0.101576,1
-0.210531,-0.043863,0
0.267962,-0.335640,0
0.368482,0.810862,1
-0.628463,-0.417827,0
-0.335460,0.308223,1
0.013355,0.042749,0
0.473543,-0.123890,0
0.281861,-0.324675,0
-0.975582,0.083778,1
0.589120,-0.752350,0
-0.724308,0.178418,0
0.105838,0.096563,0
0.040205,-0.539162,1
-0.598999,0.334786,0
0.603624,-0.363637,1
1.003496,-0.158848,0
0.765802,-0.015538,1
0.321294,-0.230958,0
-0.370594,0.282496,1
0.593531,-0.713316,0
-0.635908,0.185975,0
0.086299,0.683179,0
0.847956,0.114540,1
0.369269,0.574835,0
0.602949,-0.411211,1
-0.246158,-0.047633,0
-0.113234,-0.837567,0
0.081668,-0.796788,0
-0.318433,0.926454,1
0.116991,0.058340,0
0.541117,0.304369,0
-0.347696,0.636318,0
-0.343026,0.876456,1
-0.231693,0.664313,0
-0.022753,0.149470,0
-0.081622,-0.263938,0
-0.277637,-0.472633,1
0.032500,0.005299,0
0.011895,-0.050417,1
0.022100,-0.078778,1
0.124976,0.395478,1
-0.229162,0.622195,0
0.344304,0.163560,1
0.149994,-0.381636,0
0.183460,-0.031250,1
0.343732,0.506629,0
-0.225421,-0.080387,0
0.033741,0.438947,1
0.043022,0.088757,0
0.639390,0.582933,1
-0.027586,0.009310,1
-0.479987,0.477690,0
0.878687,-0.476899,0
-0.376714,0.152552,1
0.135063,0.154477,0
-0.615052,-0.457065,0
-0.202660,0.003302,0
-0.654683,0.051308,0
0.335001,0.009105,1
0.258197,0.279976,1
-0.221502,0.421896,1
1.073831,-0.101397,0
-0.136085,-0.181216,0
0.450384,0.467835,0
0.217882,-0.610180,1
-0.328173,-0.388551,1
0.558547,0.036833,0
0.239270,-0.866381,0
1.007794,-0.165400,0
-0.439982,-0.284503,1
-0.205207,0.154074,0
-0.078548,-0.538624,1
-0.162076,0.058067,0
0.041200,-0.287016,0
0.512767,-0.793515,0
0.232083,-0.260787,0
0.567186,-0.405600,1
0.089503,-0.127888,1
-0.122019,0.402284,1
0.036032,0.146509,0
0.012495,0.399778,1
-0.039905,0.045113,1
-0.001642,0.068993,1
0.892356,-0.449109,0
0.406216,-0.257372,0
-0.419824,0.047984,1
-0.427202,0.091327,1
-0.055063,0.202901,0
-0.570868,-0.515205,0
-0.095185,0.455600,1
0.150764,-0.853544,0
-0.936345,0.223177,1
0.558899,-0.469407,1
0.302836,0.023251,1
0.750433,0.458113,1
0.116345,-0.552794,1
0.041645,0.131155,0
0.427260,-0.214487,0
-0.288032,0.653607,0
0.056234,0.022816,1
-0.756278,0.572658,1
0.351104,0.099269,1
0.129567,0.155845,0
0.654503,0.691246,1
0.027861,0.047635,1
0.172453,-0.609588,1
-0.115568,0.158790,0
0.702141,-0.341432,1
0.318641,0.219753,1
0.794179,-0.099477,1
0.167150,-0.039661,1
0.543449,0.784438,1
-0.136549,0.685900,0
-0.570168,0.757328,1
0.414515,-0.498883,1
-0.318311,0.310225,1
0.017442,0.648106,0
0.109868,-0.381193,0
-0.774100,0.559434,1
1.061542,-0.015298,0
-0.835213,0.543996,1
-0.134790,0.182105,0
0.071380,-0.136073,1
0.526818,0.130013,0
-0.341683,-0.331411,1
-0.154449,0.076288,0
-0.070512,0.427238,1
-0.460386,0.772530,1
-0.709324,0.033435,0
-0.698822,0.176040,0
0.262952,0.029587,1
-0.600287,-0.327343,0
-0.657724,0.722557,1
0.139563,-0.369892,0
0.114855,0.362038,1
0.006045,0.027788,1
0.648627,0.599196,1
-0.200044,-0.050424,0
-0.138867,-0.299817,0
-0.156986,0.047136,0
0.032496,-0.550675,1
0.571639,0.064361,0
0.815062,0.063675,1
0.124886,-0.061528,1
-0.221428,0.109328,0
-0.593458,0.380337,0
-0.824834,0.393297,1
-0.493648,-0.585807,0
0.027386,0.188244,0
-0.690714,-0.167784,0
0.284905,0.307693,1
0.023415,0.046219,1
-0.694036,0.080885,0
0.145274,-0.311948,0
0.104030,0.383791,1
-0.056254,0.929020,1
-0.187864,-0.732465,0
0.304677,0.265508,1
-0.078059,0.179614,0
0.310989,0.199316,1
-0.237367,-0.073953,0
-0.643988,-0.307636,0
-0.391479,-0.258247,1
0.802699,0.133088,1
0.084791,0.119396,0
0.066958,0.025132,0
0.533191,0.202845,0
-0.345255,-0.635232,0
-0.050480,-0.280675,0
0.015276,-0.056939,1
0.125030,0.079162,0
0.722663,-0.083733,1
-0.311828,-0.387472,1
0.218984,-0.361502,0
0.309125,0.550734,0
-0.053797,0.467893,1
-0.421766,-0.095826,1
-0.651593,-0.236929,0
0.203601,0.641929,0
-0.042088,0.011449,1
-0.419867,-0.167073,1
0.040745,0.436623,1
-0.231220,-0.019215,0
0.099375,0.364143,1
0.088417,0.664573,0
-0.227867,0.314120,1
0.054214,-0.046797,1
0.096024,0.120445,0
0.015332,0.699245,0
-0.045511,0.134132,0
0.211187,-0.121199,1
0.275663,0.343919,1
0.083973,0.036773,0
-0.194629,-0.180114,0
0.083216,0.402364,1
0.140493,0.678343,0
0.088477,0.087736,0
-0.096934,0.640069,0
0.002720,-0.024971,1
0.000311,-0.336132,0
0.101677,-0.097985,1
-0.076149,-0.307339,0
0.575720,0.188800,0
0.003961,-0.069537,1
-0.533476,-0.591042,0
-0.137789,0.936246,1
0.206564,0.373410,1
0.281628,0.836763,1
0.547489,0.380552,0
-0.233637,-0.699273,0
-0.846697,0.359134,1
-0.239644,0.370945,1
0.372013,-0.746349,0
0.519765,0.353667,0
-0.137438,-0.231442,0
0.609785,-0.354989,1
-0.440991,0.243660,1
-0.166879,-0.452536,1
-0.152479,0.385425,1
-0.175961,-0.034334,0
0.063555,0.210962,0
0.232810,-0.572452,1
0.538880,0.287572,0
0.240186,-0.331438,0
0.011140,-0.021253,1
-0.056764,-0.332749,0
0.525537,-0.089787,0
0.036312,0.071195,0
0.748429,-0.155905,1
0.094042,0.024874,1
0.289884,0.129489,1
0.789021,0.276082,1
-0.424832,0.134375,1
0.238981,0.885194,1
-0.003330,0.162092,0
0.135544,0.902507,1
0.012525,0.047824,1
-0.238792,0.942051,1
0.071375,0.104525,0
-0.133216,0.174281,0
0.076885,0.206086,0
-0.634266,0.614296,1
-0.057041,0.177642,0
-0.459350,0.530409,0
0.762446,-0.172983,1
-0.603574,0.262408,0
-0.067098,-0.790987,0
-0.409459,-0.082330,1
-0.380432,0.833101,1
-0.113552,-0.250079,0
-0.010541,0.197542,0
0.575897,0.699774,1
0.337565,-0.529047,1
0.550068,-0.064056,0
0.092976,0.040908,0
0.551463,0.209534,0
0.403132,-0.795982,0
0.050350,0.159519,0
-0.186585,0.130724,0
0.160211,-0.055274,1
-0.556988,0.780878,1
0.282524,-0.021386,1
0.270428,0.136626,1
-0.029588,-0.596680,1
0.276955,0.015431,1
-0.561788,0.348253,0
0.212917,-0.018647,1
0.301699,0.183625,1
-0.437856,-0.192379,1
0.013663,-0.092181,1
0.078839,0.085829,0
-0.179553,-0.500298,1
0.052656,0.054273,0
-0.101495,0.199969,0
0.827877,0.243488,1
0.045605,-0.119316,1
-0.199550,0.426208,1
0.456752,-0.163729,0
-0.287259,-0.677858,0
0.107896,-0.117538,1
0.012885,-0.061620,1
-0.922729,0.217492,1
-0.348029,0.618246,0
-0.667317,-0.069477,0
-0.196260,0.951245,1
0.382048,-0.186648,0
-0.129836,0.697860,0
0.663212,-0.215613,1
0.049329,0.153230,0
0.606936,0.646900,1
-0.548934,0.437205,0
0.281703,0.590232,0
-0.441237,0.598421,0
0.045962,0.040121,1
-0.356925,0.250819,1
0.137946,-0.604918,1
-0.102319,0.424463,1
-0.147173,-0.527571,1
0.276071,-0.549535,1
0.667655,0.514649,1
0.476033,0.453261,0
0.485210,-0.523837,1
0.258401,0.555253,0
0.711141,-0.570019,0
0.582272,0.072150,0
0.014602,-0.101689,1
0.487712,-0.512350,1
0.451948,-0.074319,0
0.473583,-0.125360,0
-0.129785,0.151811,0
0.613450,-0.638276,0
1.011448,-0.212625,0
0.126931,-0.107134,1
0.266213,-0.010188,1
-0.220647,-0.027388,0
0.458383,0.494857,0
0.255824,0.053904,1
-0.354947,-0.334618,1
0.914736,-0.396992,0
0.072988,-0.377483,0
0.482852,0.805633,1
0.032059,-0.311073,0
-0.322006,0.268479,1
0.279508,0.005312,1
0.749548,-0.515725,0
0.804189,0.401934,1
0.195519,0.848807,1
0.790840,0.297350,1
0.643439,-0.651081,0
-0.423429,0.099075,1
0.509760,0.044238,0
-0.182485,-0.781512,0
-0.432805,0.102889,1
-0.128653,-0.123284,0
0.575340,0.151889,0
0.437827,0.367676,0
0.204837,0.954193,1
-0.216080,-0.486263,1
0.161499,-0.089802,1
0.123934,0.067736,0
-0.165488,0.135465,0
-0.027722,0.195477,0
-0.195507,-0.181698,0
-0.681953,-0.161095,0
-0.493462,-0.061666,1
-0.391573,-0.650201,0
-0.823552,0.417793,1
-0.078254,-0.273449,0
0.025477,-0.024159,1
0.272906,0.232430,1
0.068637,0.040904,0
-0.055026,0.201426,0
-0.561565,0.424197,0
0.199720,0.376923,1
-0.011960,0.394791,1
0.325592,0.223725,1
0.092664,0.174342,0
0.004272,0.040957,1
0.294560,-0.769810,0
0.085304,0.949647,1
-0.916767,0.270429,1
-0.011529,0.946132,1
0.239234,0.356394,1
0.836067,0.154963,1
0.086483,0.149525,0
0.199833,-0.061792,1
-0.235625,0.028838,0
-0.001127,0.082911,1
0.021399,0.173312,0
-0.482009,0.004229,1
-0.053908,-0.841552,0
-0.374678,-0.366212,1
0.042024,0.093554,1
0.283108,0.195754,1
0.238823,0.573796,0
0.814773,-0.473386,0
0.283340,-0.047617,1
-0.480900,-0.038785,1
-0.421161,0.842965,1
0.149548,0.687168,0
-0.740469,-0.038832,0
-0.038785,-0.011877,1
0.309066,0.076750,1
